"plot","clumps","baSD","baSL","baC","SDdiam","Sldiam","Cldiam"
"1.1.1",1,0,0,0,0,0,0
"1.1.2",14,0,0,0,0,0,0
"1.1.3",29,0,0,0,0,0,0
"1.1.4",24,0,0,0,0,0,0
"1.2.1",0,0,0,0,0,0,0
"1.2.2",2,0,0,0,0,0,0
"1.2.3",7,0,0,0,0,0,0
"1.2.4",0,0,0,0,0,0,0
"1.2.5",1,0,0,0.0021017304,0,0,33.4
"1.2.6",3,0,0,0,0,0,0
"1.3.1",7,0,0,0.003428271,0,0,34.7
"1.3.2",12,0,0,0.0028423626,0,0,24.5
"1.3.3",12,0,0,0.003263337,0,0,37.1
"1.3.4",35,0,0,0.0088090464,0,0,66
"1.3.5",14,0,0,0.004468926,0,0,30.6
"1.3.6",20,0,0,0.0068675376,0,0,41.2
"1.4.1",17,0,0,0.0036843114,0,0,20.5
"1.4.2",6,0,0,0.0085160922,0,0,49.1
"1.4.3",13,0,0,0.0087909822,0,0,43.7
"1.4.4",21,0,0,0.0167557236,0,0,87.2
"1.4.5",16,0,0,0.0274120308,0,0,132.4
"1.4.6",11,0,0,0.0117825708,0,0,76.8
"2.1.1",18,0,0.0401802786,0,0,87.3,0
"2.1.2",3,0,0.0001861398,0,0,4.5,0
"2.1.3",6,0,0.0015692292,0,0,13.6,0
"2.1.4",3,0,0,0,0,0,0
"2.1.5",3,0,0.0102950232,0,0,26.6,0
"2.1.6",4,0,0.0121964766,0,0,35.3,0
"2.2.1",13,0,0,3.5343e-05,0,0,1.1
"2.2.2",44,0,0,0,0,0,0
"2.2.3",1,0,0,0,0,0,0
"2.2.4",22,0,0,0,0,0,0
"2.2.5",1,0,0,0.0018865308,0,0,16.8
"2.2.6",3,0,0,0.0002128434,0,0,4.1
"2.3.1",6,0,0,0.0052990938,0,0,47.3
"2.3.2",3,0,0,0.000781473,0,0,6.9
"2.3.3",9,0,0,0,0,0,0
"2.3.4",6,0,0,0.0016956786,0,0,18.3
"2.3.5",6,0,0,0.0046040148,0,0,18.6
"2.3.6",7,0,0,0.0087666348,0,0,53.4
"2.4.1",18,0,0,0.003777774,0,0,23.8
"2.4.2",23,0,0,0.0011294052,0,0,24
"2.4.3",14,0,0,0.0017679354,0,0,30.1
"2.4.4",22,0,0,0.0096863382,0,0,70.3
"2.4.5",13,0,0,0.0051804984,0,0,42.8
"2.4.6",3,0.0027221964,0,0.0071298612,10,0,49.8
"3.1.1",1,0,0.0075429816,0,0,19.2,0
"3.1.2",6,0,0.0018174156,0,0,6.2,0
"3.1.3",7,0,0.0041013588,0,0,15.8,0
"3.1.4",10,0,0.00435897,0,0,11.2,0
"3.1.5",8,0.0021237216,0.0683321562,0,5.2,83.1,0
"3.1.6",6,0,0.0211484658,0,0,59.9,0
"3.2.1",2,0,0,0,0,0,0
"3.2.2",3,0,0,0.0001837836,0,0,2.6
"3.2.3",14,0,0,0,0,0,0
"3.2.4",5,0.005415333,0,0.0038107608,22.7,0,45.4
"3.2.5",11,0.0143013486,0.06157536,0.0029908032,36.5,66.4,23.4
"3.2.6",18,0.0310130898,0,0.0136251192,59.1,0,81.4
"3.3.2",6,0,0,0.008988903,0,0,76.9
"3.3.3",1,0,0,0.0100421244,0,0,71.2
"3.3.4",21,0,0,0.0037942674,0,0,36.9
"3.3.5",7,0.0307664742,0,0.0122153262,62.5,0,80.1
"3.3.6",7,0.0333897102,0,0.0094428642,40.5,0,48.9
"3.4.1",6,0,0,0.0041555514,0,0,38.5
"3.4.2",13,0,0,0.0088875864,0,0,65
"3.4.3",2,0,0,0.0042929964,0,0,40
"3.4.4",9,0.0113969394,0,0.0061127682,25.7,0,39.9
"3.4.5",9,0.0539499114,0,0.0261443952,92.1,0,169.4
"3.4.6",2,0.0608386548,0,0.0096674886,71.6,0,84.1
"4.1.1",11,0,0.0150569034,0,0,26.1,0
"4.1.2",6,0,0.0612941868,0,0,112,0
"4.1.3",27,0,0.0046032294,0,0,23.5,0
"4.1.4",8,0,0.0054106206,0,0,8.3,0
"4.1.5",2,0,0.025914273,0,0,83.3,0
"4.1.6",14,0,0.0161061978,0,0,42.9,0
"4.2.1",18,0.04331481,0,0.0107858982,70.4,0,87.5
"4.2.2",4,0,0.0832460045114563,0,0,97.052764,0
"4.2.3",11,0,0,0.0040581618,0,0,38.3
"4.2.4",9,0.0849268728,0,0.0209568282,131,0,116.7
"4.2.5",11,0.07367052,0.0370795194,0.0180178614,138.2,36.9,123.5
"4.2.6",5,0.014486703,0,0.0034643994,28.1,0,22.9
"4.3.1",8,0,0,0.012260094,0,0,99.4
"4.3.2",3,0,0,0.0117401592,0,0,70
"4.3.3",20,0,0,0.0049810068,0,0,33
"4.3.4",12,0,0,0.0120739542,0,0,95.9
"4.3.5",1,0.0251814948,0,0.004732035,32.8,0,36.3
"4.3.6",15,0.0262857672,0,0.0060695712,37.2,0,32.8
"4.4.1",4,0,0,0.011686752,0,0,95.6
"4.4.2",2,0,0,0.004170474,0,0,29.2
"4.4.3",25,0,0,0,0,0,0
"4.4.4",10,0,0,0.0037510704,0,0,24.8
"4.4.5",3,0.0541863168,0,0.017113866,87.2,0,87.2
"4.4.6",3,0.0491848896,0,0.0179754498,64.6,0,106.1
